name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ahmedabad,2020-01-13,23.5,17.7,20.6,23.5,17.7,20.6,14.7,69.5,0,0,0,,0,0,38.5,14.8,270,1012.3,37.1,3.2,136.5,11.8,6,,2020-01-13T07:22:48,2020-01-13T18:13:23,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-14,24.1,12,18,24.1,12,18,9.2,59.3,0,0,0,,0,0,23.8,9.4,324.1,1014.4,18.6,3.9,196.2,16.9,7,,2020-01-14T07:22:51,2020-01-14T18:14:06,0.62,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-15,24,9,16.9,24,9,16.9,5.9,50.6,0,0,0,,0,0,24.8,11.2,299.8,1014.2,2.3,3.9,206.1,17.8,8,,2020-01-15T07:22:52,2020-01-15T18:14:49,0.66,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-16,21.5,10,15.7,21.5,9.6,15.7,8,61.5,0,0,0,,0,0,32.4,14.8,287.8,1014.7,0.4,4.1,199.9,17.3,7,,2020-01-16T07:22:52,2020-01-16T18:15:32,0.69,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-17,22.3,10,16.1,22.3,10,16.1,10.7,72.1,0,0,0,,0,0,21.6,10.7,20.4,1016.3,6.4,2.8,204.2,17.6,7,,2020-01-17T07:22:51,2020-01-17T18:16:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-18,25,10,17.1,25,9.6,17.1,9.1,61.7,0,0,0,,0,0,19.8,14.8,20.6,1016.5,0.2,3.2,205.9,17.7,8,,2020-01-18T07:22:48,2020-01-18T18:16:58,0.76,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-19,24.2,11,17.1,24.2,11,17.1,8.2,57.6,0,0,0,,0,0,32.4,16.6,47,1017.4,15.4,3.9,207.2,17.7,8,,2020-01-19T07:22:43,2020-01-19T18:17:41,0.8,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-20,25,12,17.5,25,12,17.5,8.5,58,0,0,0,,0,0,30.2,14.8,55,1016.2,18.7,4.1,210.2,18.2,8,,2020-01-20T07:22:38,2020-01-20T18:18:24,0.84,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-01-21,27.1,11,18.9,26.7,11,18.8,9,55.1,0,0,0,,0,0,22,11.2,23.8,1015.5,20.1,4.1,210.7,18.2,8,,2020-01-21T07:22:30,2020-01-21T18:19:07,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-22,28,11,19.4,27.5,11,19.4,10.2,56.7,0,0,0,,0,0,24.8,14.8,35.7,1017.4,0,3.9,210.6,18.2,8,,2020-01-22T07:22:22,2020-01-22T18:19:49,0.91,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-23,25.1,14,19.2,25.1,14,19.2,9.2,53.8,0,0,0,,0,0,38.5,21.6,54.9,1018.2,5.8,3.9,210.8,18.3,8,,2020-01-23T07:22:12,2020-01-23T18:20:32,0.94,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-24,27,13,19.6,26.5,13,19.6,7.6,47.1,0,0,0,,0,0,29.9,15.5,48.1,1016.8,4.6,4.1,212.1,18.3,8,,2020-01-24T07:22:01,2020-01-24T18:21:14,0.98,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-25,27.4,13,19.4,27.2,13,19.3,10,56.7,0,0,0,,0,0,19.4,13,48.2,1015.8,26.8,3.7,210,18.1,8,,2020-01-25T07:21:48,2020-01-25T18:21:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-26,30,13,20.8,28.4,13,20.5,10.7,58.9,0,0,0,,0,0,15.8,14.8,34.3,1013.7,5.6,3.6,211.7,18.3,8,,2020-01-26T07:21:34,2020-01-26T18:22:39,0.04,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-27,29.1,14,21.5,28.2,14,21.4,12.2,58.1,0,0,0,,0,0,26.3,18.4,280,1011,48.2,3.8,209.1,18.1,8,,2020-01-27T07:21:18,2020-01-27T18:23:20,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-28,25,18,21.1,25,18,21.1,9.9,50.9,0,0,0,,0,0,33.1,18.4,274,1012,45.3,4.4,173.7,14.9,7,,2020-01-28T07:21:02,2020-01-28T18:24:02,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-29,25,12,18.5,25,12,18.5,6.3,48.7,0,0,0,,0,0,19.8,11.2,309.5,1016.1,1.2,4.1,219.3,19.1,8,,2020-01-29T07:20:43,2020-01-29T18:24:43,0.14,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-30,25.4,10,17.4,25.4,9.6,17.4,6.7,52.5,0,0,0,,0,0,23.4,11.2,69.4,1017,0,3.9,221,19.1,8,,2020-01-30T07:20:24,2020-01-30T18:25:24,0.17,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-31,26,11.5,18.3,26,11.5,18.3,6.8,49.8,0,0,0,,0,0,22.3,11.2,30.8,1014.7,0,4.2,221,19.1,8,,2020-01-31T07:20:03,2020-01-31T18:26:05,0.21,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-01,26.2,10,18.6,26.2,10,18.6,3.5,39.1,0,0,0,,0,0,34.2,18.4,40.3,1016.2,0,4.4,227.9,19.6,8,,2020-02-01T07:19:41,2020-02-01T18:26:45,0.24,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-02,26.2,13,19.4,26.2,13,19.4,5,40.1,0,0,0,,0,0,37.8,18.4,52.8,1017.1,6.3,4.3,221.7,19.1,8,,2020-02-02T07:19:18,2020-02-02T18:27:25,0.25,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-03,27,14,20.2,26.6,14,20.1,7.5,44.5,0,0,0,,0,0,29.9,14.8,36.1,1016,10.1,4.3,218.4,18.8,8,,2020-02-03T07:18:53,2020-02-03T18:28:04,0.3,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-04,27.2,11,19.7,26.5,11,19.6,4.4,40.3,0,0,0,,0,0,23.4,11.2,331.2,1014.9,0.4,3.9,228.9,19.8,8,,2020-02-04T07:18:27,2020-02-04T18:28:44,0.34,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-05,28.1,10,19.4,27.3,9.6,19.2,8.2,50.8,0,0,0,,0,0,25.2,46,37.8,1015,0,4.3,228.2,19.7,8,,2020-02-05T07:18:00,2020-02-05T18:29:22,0.37,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-06,27.1,13,20,26.5,13,19.9,5.7,40.5,0,0,0,,0,0,25.2,16.6,7.9,1014.6,0,4.3,228.8,19.8,8,,2020-02-06T07:17:31,2020-02-06T18:30:01,0.4,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-07,27.1,13,19.8,26.7,13,19.7,6.8,44.2,0,0,0,,0,0,29.2,18.4,32.1,1015.9,2.5,4.1,229.8,19.9,8,,2020-02-07T07:17:02,2020-02-07T18:30:39,0.43,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-08,25.4,13,19.3,25.4,13,19.3,5.1,41.8,0,0,0,,0,0,36.7,20.5,48,1018.6,0,4.3,236.2,20.3,8,,2020-02-08T07:16:31,2020-02-08T18:31:16,0.47,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-09,26,12,19,26,12,19,5.1,41.9,0,0,0,,0,0,37.1,18.4,56.6,1018.9,0,4.2,234.9,20.2,8,,2020-02-09T07:15:59,2020-02-09T18:31:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-10,28,13,19.7,26.9,13,19.6,6.1,42.1,0,0,0,,0,0,31.7,17.4,49.4,1016.8,0,4.4,233.6,20.2,8,,2020-02-10T07:15:26,2020-02-10T18:32:30,0.53,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-11,31,15,22.2,29.8,15,22,10,46.7,0,0,0,,0,0,27,13,47.3,1016.1,2.9,4.3,230.1,20,8,,2020-02-11T07:14:52,2020-02-11T18:33:06,0.57,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-12,32,18,23.9,31.5,18,23.7,13.1,52.9,0,0,0,,0,0,27.4,14.8,56.3,1017.4,6.2,4.1,220.9,19.2,8,,2020-02-12T07:14:16,2020-02-12T18:33:41,0.6,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-13,32.1,16,24.4,31,16,24,12,49.1,0,0,0,,0,0,34.2,20.5,359.1,1016.9,5.8,3.9,226.2,19.5,8,,2020-02-13T07:13:40,2020-02-13T18:34:16,0.64,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-14,32,18.1,24.4,30.3,18.1,23.8,8.5,39.4,0,0,0,,0,0,16.9,13,337.5,1014.8,5.2,4.2,236.4,20.4,8,,2020-02-14T07:13:03,2020-02-14T18:34:51,0.67,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-15,32,15,23.2,30.2,15,22.8,9.7,44.7,0,0,0,,0,0,17.6,13,21.8,1013.8,25.2,4.1,229.8,19.9,8,,2020-02-15T07:12:24,2020-02-15T18:35:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-16,32,17,24.2,30.2,17,23.7,9.9,43.1,0,0,0,,0,0,29.5,16.6,48,1015.1,1.7,4.2,235.7,20.2,8,,2020-02-16T07:11:45,2020-02-16T18:35:59,0.75,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-17,34,19,25.1,31.6,19,24.4,6.2,32,0,0,0,,0,0,28.4,16.6,56.5,1015.8,0.3,4.5,239.2,20.7,8,,2020-02-17T07:11:04,2020-02-17T18:36:33,0.78,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-18,35,16,24.7,32.5,16,23.9,7,35.9,0,0,0,,0,0,21.2,13,55,1014.5,14.3,4.2,244.4,21.1,9,,2020-02-18T07:10:23,2020-02-18T18:37:05,0.81,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-19,34.1,16,25.3,32.5,16,24.7,11.2,45.9,0,0,0,,0,0,20.9,11.2,255.6,1012,20.6,3.3,237.7,20.4,8,,2020-02-19T07:09:40,2020-02-19T18:37:38,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-20,33,16,24.9,30.7,16,24.2,9.5,45.4,0,0,0,,0,0,22,13,259.6,1011.4,4.2,4,250.5,21.8,9,,2020-02-20T07:08:57,2020-02-20T18:38:10,0.88,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-21,32,17,24,30.2,17,23.6,9.7,42.9,0,0,0,,0,0,24.5,14.8,23.6,1014.6,10.9,4,244.5,21.1,9,,2020-02-21T07:08:13,2020-02-21T18:38:41,0.92,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-22,31,16,23.3,29.2,16,22.8,7.2,37.1,0,0,0,,0,0,31.7,20.5,45.4,1016.9,0,4.1,248.5,21.5,9,,2020-02-22T07:07:28,2020-02-22T18:39:12,0.95,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-23,31,17,23.7,29.7,17,23.4,10.5,44.6,0,0,0,,0,0,29.5,14.8,49.1,1015.5,23.8,4.1,243.7,21,9,,2020-02-23T07:06:42,2020-02-23T18:39:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-24,31,18,23.9,29.3,18,23.6,11.5,48.3,0,0,0,,0,0,29.5,16.6,38.5,1013.8,5.6,4.2,250.5,21.6,9,,2020-02-24T07:05:55,2020-02-24T18:40:13,0.02,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-25,33,17,24.4,30.8,17,23.8,10.1,44.6,0,0,0,,0,0,23,18.4,51.8,1013.5,3.4,4.2,253.7,21.8,9,,2020-02-25T07:05:08,2020-02-25T18:40:42,0.05,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-26,33,16,24.6,31,16,24,10.4,46,0,0,0,,0,0,18.7,9.4,251.3,1013.7,10.3,3.7,251.6,21.7,9,,2020-02-26T07:04:20,2020-02-26T18:41:12,0.09,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-27,35,17,25.8,33.1,17,25.1,11.1,44.1,0,0,0,,0,0,15.8,14.8,4.7,1012.9,1.3,4,253,21.9,9,,2020-02-27T07:03:31,2020-02-27T18:41:40,0.12,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-02-28,33.8,17,25.7,32.6,17,25.2,12.9,48.6,0,0,0,,0,0,18.4,9.4,5.8,1010.6,28.8,3.6,236.9,20.4,9,,2020-02-28T07:02:41,2020-02-28T18:42:09,0.15,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-02-29,34,22,27.3,32.2,22,26.7,12.1,40.9,0,0,0,,0,0,22,11.2,307.8,1009.5,21.1,3.8,253.5,22,9,,2020-02-29T07:01:51,2020-02-29T18:42:37,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-01,34,18,26.6,32.5,18,26,11.3,42.1,0,0,0,,0,0,16.2,11.2,287.9,1010.7,8.3,3.9,259.5,22.6,9,,2020-03-01T07:01:00,2020-03-01T18:43:04,0.22,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-02,34,17,26.1,32,17,25.5,9.8,39,0,0,0,,0,0,20.9,20.5,227.3,1011,0.2,3.8,263.1,22.9,9,,2020-03-02T07:00:08,2020-03-02T18:43:32,0.25,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-03,34,19,25.9,31.9,19,25.4,13.4,50.4,0,0,0,,0,0,23.4,13,235.2,1010.6,7.9,3.5,262,22.7,9,,2020-03-03T06:59:16,2020-03-03T18:43:59,0.25,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-04,32,20,25.7,30.4,20,25.4,12.7,46.9,0,0,0,,0,0,28.1,18.7,262.8,1010.5,1.3,4.1,265.1,22.9,9,,2020-03-04T06:58:23,2020-03-04T18:44:25,0.32,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-05,30.1,20,24.2,29.6,20,24,15.8,62.7,4,100,4.17,rain,0,0,28.8,22.6,237.8,1009.4,31.1,3.9,227.7,19.7,9,,2020-03-05T06:57:30,2020-03-05T18:44:51,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-06,28.1,19,23.1,27.3,19,23,12.8,55.7,0,0,0,,0,0,34.9,18.4,258.3,1009.3,26,4.4,250.4,21.5,9,,2020-03-06T06:56:36,2020-03-06T18:45:17,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-07,29.2,13,21.9,27.8,13,21.5,6.8,41.3,0,0,0,,0,0,19.4,11.2,74.4,1013.3,0,4,276.1,24,9,,2020-03-07T06:55:42,2020-03-07T18:45:43,0.42,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-08,31,15,23.4,29.3,15,22.9,8.3,40.8,0,0,0,,0,0,28.8,14.3,58.5,1013.6,0,4.4,276.5,24,9,,2020-03-08T06:54:47,2020-03-08T18:46:08,0.45,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-09,33,19,25.6,31.5,19,25.1,9.2,36.4,0,0,0,,0,0,35.3,14.8,95.5,1010.9,10.5,4.3,265.9,23,9,,2020-03-09T06:53:52,2020-03-09T18:46:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-10,32,20,25.3,30.4,20,25.1,14.4,53.8,0,0,0,,0,0,34.9,22.3,210.6,1009.4,32,4.3,274.1,23.8,9,,2020-03-10T06:52:57,2020-03-10T18:46:57,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-11,29.1,20,24.1,28.4,20,23.9,11.4,48.9,0,0,0,,0,0,41,27.7,255.9,1010.5,31,4,245.7,21.3,9,,2020-03-11T06:52:01,2020-03-11T18:47:22,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-12,28.4,17,22.3,27,17,22.2,4.4,33.9,0,0,0,,0,0,25.9,22.3,260.3,1013.3,0,4.5,285.6,24.7,10,,2020-03-12T06:51:04,2020-03-12T18:47:46,0.59,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-13,29,15,22.8,27.6,15,22.5,7.7,39.6,0,0,0,,0,0,23,14.8,287.9,1014.9,18.6,4.1,274.9,23.7,9,,2020-03-13T06:50:08,2020-03-13T18:48:10,0.62,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-14,31,17,23.4,28.9,17,22.8,3.4,29.2,0,0,0,,0,0,27.7,18.4,20.6,1015.1,3,4.4,286.7,24.7,10,,2020-03-14T06:49:11,2020-03-14T18:48:33,0.65,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-15,32.1,16,24.1,29.8,16,23.5,1.6,24.9,0,0,0,,0,0,39.6,18.4,46.2,1014.5,36.3,4.5,275.5,23.9,10,,2020-03-15T06:48:14,2020-03-15T18:48:57,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-16,33.1,18,25.2,30.8,18,24.5,5.2,29.7,0,0,0,,0,0,33.5,16.6,47.7,1014.1,26.9,4.4,268.6,23.2,9,,2020-03-16T06:47:16,2020-03-16T18:49:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-17,36,18,26.7,34.1,18,25.9,8.7,34.1,0,0,0,,0,0,31,18.4,48.6,1013.6,5.3,4.1,281.6,24.4,9,,2020-03-17T06:46:19,2020-03-17T18:49:43,0.76,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-18,38,21,28.4,35.7,21,27.7,9.4,32.5,0,0,0,,0,0,29.5,16.6,39.5,1012.5,5.2,4.3,283.5,24.5,9,,2020-03-18T06:45:21,2020-03-18T18:50:06,0.79,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-19,38,21,29.9,35.4,21,28.8,9.7,32.3,0,0,0,,0,0,19.1,13,197,1010.3,31.7,3.8,265.6,23.1,9,,2020-03-19T06:44:23,2020-03-19T18:50:29,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-20,33,22,27.5,30.8,22,26.6,8.9,34.2,0,0,0,,0,0,27.4,20.5,253.9,1010.5,18.1,4.4,281.9,24.3,10,,2020-03-20T06:43:25,2020-03-20T18:50:51,0.86,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-21,35,20.9,27.5,34.7,20.9,27.5,15.9,52.3,0,0,0,,0,0,19.8,14.8,246.8,1011,7.2,4.2,280.5,24.3,9,,2020-03-21T06:42:27,2020-03-21T18:51:14,0.89,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-03-22,36,24,29.4,35.8,24,29.9,17,49.3,0,0,0,,0,0,19.1,9.4,295.9,1011.5,36.3,4.3,255,22,9,,2020-03-22T06:41:29,2020-03-22T18:51:36,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-03-23,39,23,30.7,38.4,23,30.3,14.3,39.4,0,0,0,,0,0,22,10.4,302.9,1010.7,27.9,4.2,271.2,23.3,9,,2020-03-23T06:40:31,2020-03-23T18:51:58,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
